import time: self [us] | cumulative | imported package
import time:   1275370 |    2694346 |                     scipy.special._ufuncs
import time:    449388 |     449388 |                     scipy.special._support_alternative_backends
import time:    701609 |     701609 |                       scipy.special._gufuncs
import time:    474446 |     474446 |                       scipy.special._input_validation
import time:    476120 |     476120 |                       scipy.special._specfun
import time:    476420 |     476420 |                       scipy.special._comb
import time:    391564 |     391564 |                       scipy.special._multiufuncs
import time:    446826 |    2966982 |                     scipy.special._basic
import time:    535221 |     535221 |                         scipy._lib.array_api_extra._funcs
import time:    492863 |    1028083 |                       scipy._lib.array_api_extra
import time:    504764 |    1532846 |                     scipy.special._logsumexp
import time:    408554 |     408554 |                     scipy.special._orthogonal
import time:    422407 |     422407 |                     scipy.special._spfun_stats
import time:    452505 |     452505 |                       scipy.special._ellip_harm_2
import time:    397445 |     849949 |                     scipy.special._ellip_harm
import time:    379913 |     379913 |                     scipy.special._lambertw
import time:    443828 |     443828 |                     scipy.special._spherical_bessel
import time:    407857 |     407857 |                     scipy.special.add_newdocs
import time:    388186 |     388186 |                     scipy.special.basic
import time:    511024 |     511024 |                     scipy.special.orthogonal
import time:    423151 |     423151 |                     scipy.special.specfun
import time:    403966 |     403966 |                     scipy.special.sf_error
import time:    694327 |     694327 |                     scipy.special.spfun_stats
import time:    601113 |   14022947 |                   scipy.special
import time:    441645 |     441645 |                       scipy.stats._warnings_errors
import time:   1087585 |    1087585 |                             scipy.spatial._ckdtree
import time:    452926 |    1540510 |                           scipy.spatial._kdtree
import time:    437787 |     437787 |                             scipy._lib.messagestream
